product name,bundle flag,no of units,total price,unit price
"PA Dutch Birch Beer, Protected With High-Density Foam, Favorite Amish Drink, 12 Oz. Cans (Case of 24)",1,24,29.74,1.2391666666666665
"Sprite, Lemon Lime Soda, 12 Oz (Pack of 12)",1,12,nan,
"Whole Foods Market Organic Tropical Blend Italian Soda, 11.2 fl oz (Pack of 4)",1,4,nan,
"Coca-Cola Coke Zero Sugar, 7.5 Fl Oz Mini Can (Pack of 12, Total of 135 Oz)",1,12,14.51,1.2091666666666667
Bundaberg - Root Beer - 375ml (Case of 12),1,12,45.00,3.75
"Regatta Craft Mixers, Classic Ginger Beer, All-Natural Ingredients, Non-GMO, 7.5oz, Case of 24 Sleek Cans",1,24,27.99,1.16625
"Mountain Dew, MTN Original and Major Melon Variety Pack 12oz Cans Pack, Watermelon, 18 Count",1,18,12.00,0.6666666666666666
"Shasta VERY CHERRY TWIST Soda, 12-Ounce Cans (Pack of 24)",1,24,25.99,1.0829166666666665
"Diet Barq's Root Beer Soda Soft Drink, 12 fl oz, 12 Pack",1,12,17.50,1.4583333333333333
"Sun Drop Citrus Soda, 12 Fluid Ounce Can, 12 Count",1,12,nan,
"GuaranÃ¡ Antarctica, The Brazilian Original GuaranÃ¡ Soda, Regular, 11.83 fl oz (Pack of 12)",1,12,nan,
Jarritos Limon Soft Drink Pack of 6 - 12.5 oz,1,6,24.19,4.031666666666667
"Poppi Raspberry Rose Prebiotic Soda, 12 Fl Oz",0,1,nan,nan
"Dr Pepper (12 oz. cans, 24 pk.)",1,24,nan,
"CLEEN CRAFT | Mood-Boosting, Non-Alcoholic Premium Sparkling Hemp Drink, Organic Flavors, Low Calorie & Caffeine-Free, Plant-Based Nootropic Beverage (Ginger, 12-Pack)",1,12,31.99,2.665833333333333
"KOIOS - Sparkling Citrus Fit Soda, Zero Calorie Soft Drink, Muscle Recovery Soda, Hydrating Electrolytes & BCAAs for Energy, Great Flavor, No Sugar, Caffeine-Free, Gluten-Free (12 oz, 12 Count)",1,12,nan,
"Crush Strawberry Soda, 12oz (pack of 12)",1,12,12.50,1.0416666666666667
Crush Cream Soda Carbonated Soft Drink 6 x 591ml 19.98oz bottles from Canada,1,unknown,21.00,unknown
"MTN DEW RISE ENERGY, Drink 6 Flavor Variety 16 oz Cans, 6FL Sampler Pack, 12 Count",1,12,nan,
"Saranac World Famous Hand-Crafted Shirley Temple Soda Soft Drink, 12 fl oz (12 Glass Bottles)",1,unknown,29.99,unknown
Diet Coke Mini 7.5 fl. oz Cans (30 pk.),1,30,21.59,0.7196666666666667
Solo Cream Soda 20 oz - 6 Pack,1,6,29.51,4.918333333333334
"Fentimans Bev 4 Pack Cola Cherry Tree, 37.2 oz",1,4,19.59,4.8975
"DR PEPPER Cherry Zero Sugar Soda, 12 fl oz cans, 12 pack",1,12,17.99,1.4991666666666665
"Zevia Kidz Variety Pack, 7.5 Oz Cans (Pack Of 24)",1,24,19.96,0.8316666666666667
"Seagrams Ginger Ale Soda Soft Drinks, 75 fl oz, 6 Pack",1,6,nan,
"Coca-Cola, Zero Caffeine-Free Soda Soft Drink, 2 l",0,1,nan,nan
"Maine Root Soda Mexicane Cola, 48 fl oz, 4 ct",1,4,nan,
"Kutztown ""Nix Besser"" Sarsaparilla Soda, 24 Oz. Bottles (Pack of 4)",1,4,14.31,3.5775
"Mexican Coke Fiesta Pack, 12 fl oz Glass Bottles, 12 Pack",1,unknown,18.00,unknown
"Mountain Dew, 2 Liter Bottle",0,1,nan,nan
"Canada Dry Bold Ginger Ale, 7.5 fl oz mini cans, 6 pack",1,6,nan,
Genuine Jamaican Soft Drinks 6 Packs (Kola Champagne),1,6,24.21,4.035
Shirakiku Strawberry Ramune Carbonated Soft Drink Soda 6.76fl oz (200ml) - (Pack of 5),1,5,nan,
"Zevia Zero Calorie Soda, Creamy Root Beer, 12 Ounce Cans (Pack of 24)",1,24,nan,
"Stewart Sodas Diet Root Beer, 4pk, 12 oz",1,4,25.00,6.25
"Coca-Cola, Soda Soft Drink, 16.9 oz (pack of 6)",1,6,nan,
"CALPICO SODA, Carbonated Soft Drink, Hint of Citrus Flavor, Japanese Soda, Made with CALPICO and Carbonated Water. 11.3oz Can (Pack of 8)",1,8,20.00,2.5
"Demi Doux Low Sugar Soda - Soft Drink Made with Real Cane Sugar and No Artificial Sweeteners, 4 Flavor Variety Pack - Cola, Orange Soda, Root Beer, Ginger Ale, 16 Cans (12 oz)",1,16,20.00,1.25
Kutztown Soda- Your Choice of 9 Flavors in a Case Pack of 24/ 24 oz. Bottles (Sarsaparilla),1,unknown,39.99,unknown
"Mountain Dew Soda, 12 Fl Oz (pack of 24)",1,24,nan,
"IZZE Sparkling Juice, Blackberry, 12 Fl Oz (pack of 4)",1,4,nan,
"Health-Ade Pop Vegan Organic Prebiotic Soda for Gut Health, Healthy Soda with Antioxidants, Lactic Acid to Detoxify, 12 Pack Case (12 Fl Oz Cans), Pop: Sampler Pack",1,12,29.99,2.4991666666666665
"Buchi Kefir Soda Ginger Turmeric Cayenne, 12 Fluid Ounce (Pack of 6)",1,6,34.26,5.71
"Crush Strawberry Soda, 12oz (pack of 12)",1,12,12.50,1.0416666666666667
"Zevia Natural Twist Soda, Sugar Free, 12 oz, 6 pack",1,6,nan,
"Sprecher Ginger Ale, 4ct (Pack of 6)",1,6,62.89,10.481666666666667
"Sprite Lemon Lime Soda Soft Drinks, 16.9 fl oz (pack of 6)",1,6,nan,
Loux | Greek Soft Drink | Orange | Pack of 12 | 330ml,1,12,22.00,1.8333333333333333
"Coca-Cola, Coke Classic, Original, 12oz Cans (Pack of 18, Total of 216 oz)",1,18,24.59,1.366111111111111
"Sprite Lemon Lime Soda Soft Drinks, 16.9 fl oz (pack of 6)",1,6,nan,
Genuine Jamaican Soft Drinks 6 Packs (Kola Champagne),1,6,24.21,4.035
"Calpico Soft Drink, Peach, 50.67-Ounce (Pack of 2)",1,2,12.30,6.15
"Coke Zero Sugar Cola Soda, 12 oz, 24 Pack (Package May Vary)",1,24,nan,
"Zevia Zero Calorie Soda, Grape, 12 Fl Oz (pack of 6)",1,6,nan,
"Mountain Dew Kickstart, Pineapple Orange Mango, 16 Fl Oz (12 Count)",1,12,15.50,1.2916666666666667
"HANSEN'S BEVERAGES, Soda, Natural Cola, Pack of 4, Size 6/12 FZ, (GMO Free)",1,4,36.00,9.0
"IZZE Sparkling Juice, 4 Flavor Variety Pack, 8.4 Fl Oz (24 Count)",1,24,17.99,0.7495833333333333
"LUV BOX - VARIETY 7.5 OZ CANS , PACK OF 16 PEPSI ORIGINAL . WILD CHERRY PEPSI , REAL SUGAR PEPSI , SCHWEPPES CLUB SODA , CRUSH ORANGE , SIERRA MIST . DR PEPPER . MOUNTAIN DEW",1,16,29.00,1.8125
"Fanta Grape Soda, 12 Fl Oz Cans (Pack of 18, Total of 216 Fl Oz)",1,18,24.99,1.3883333333333332
"Zevia, Soda Black Cherry, 12 Fl Oz, 10 Pack",1,10,nan,
"KOIOS - Sparkling Citrus Fit Soda, Zero Calorie Soft Drink, Muscle Recovery Soda, Hydrating Electrolytes & BCAAs for Energy, Great Flavor, No Sugar, Caffeine-Free, Gluten-Free (12 oz, 4 Count)",1,4,15.95,3.9875
"7Up Lemon Lime Mini Soda Cans, 7.5 oz Soft Drinks Bulk Snacks Pack, Small Refrigerator & Snack Pantry Drink 18 Count Beverage Bedroom & Kitchen Supplies",1,18,24.49,1.3605555555555555
"Cheerwine Cherry Soft Drink Soda, 12 Fl Oz Glass Bottle (Pack of 6, Total of 72 Fl Oz)",1,6,22.71,3.785
"NEW MTN DEW Thrashed Apple 12 fl oz can, 12 count",1,12,25.14,2.095
"Dr Pepper Soda, 12 fl oz, 24 pack",1,24,31.00,1.2916666666666667
"Pepsi Cola (12 oz. cans, 36 ct.)",1,36,33.99,0.9441666666666667
REBBL POP | Blackberry | Organic Sparkling Prebiotic Soda with Immunity and Digestive Support | 12 Ounce (Pack of 12),1,12,29.99,2.4991666666666665
"Kutztown ""Nix Besser"" Sarsaparilla Soda, Pa. Dutch Favorite Drink, 24 Oz. Bottles (Pack of 12)",1,12,42.57,3.5475
Canada Dry Ginger Ale Original Soda Soft Drink Bottles - 12 Pack (20 oz. ea),1,12,28.99,2.415833333333333
"TaB Diet Cola Soda, 12oz Can (Pack of 18, Total of 216 Oz)",1,18,39.00,2.1666666666666665
"Fanta Orange Soda, 12 Fl Oz Cans (Pack of 18, Total of 216 Fl Oz)",1,18,27.00,1.5
